=== SimAI htsim Backend ===
Topology: fattree
GPUs: 128
Link speed: 100000 Mbps
DP/TP/PP/EP: 2/4/2/8
GPUs per server: 8
Iterations: 5
Workload: /home/weihaoni/BTB-NCCL/SimAI/aicb/results/workload/Qwen3-Moe-235B-world_size128-tp4-pp2-ep8-bs1-seq1024-decode.txt
Expert hotspot: topk=8 skew=1.2 seed=7 volatility=1000
==========================
[htsim] Machines: 16 FatTree K=4 FatTree nodes: 16
Building 1:1 Fat Tree with 16 nodes (k=4)
Link speed: 800000 Mbps
[htsim] FatTree topology created (full BW: 800000 Mbps)
[htsim] NVSwitch nodes: 16 (IDs: 128 to 143)
The final active chunks per dimension 1 after allocating to queues is: 1
ring of node 0, id: 0 dimension: local total nodes in ring: 128 index in ring: 0 offset: 1total nodes in ring: 128
ring of node 0, id: 0 dimension: local total nodes in ring: 128 index in ring: 0 offset: 1total nodes in ring: 128
ring of node 0, id: 0 dimension: local total nodes in ring: 128 index in ring: 0 offset: 1total nodes in ring: 128
ring of node 0, id: 0 dimension: local total nodes in ring: 128 index in ring: 0 offset: 1total nodes in ring: 128
total nodes: 128
Success in opening workload file
model_parallel_NPU_group is 4
checkpoints layers are: 
layers initiating fwd_in_bckwd are: 
ring of node 0, id: 0 dimension: local total nodes in ring: 4 index in ring: 0 offset: 1total nodes in ring: 4
ring of node 0, id: 0 dimension: local total nodes in ring: 32 index in ring: 0 offset: 4total nodes in ring: 32
ring of node 0, id: 0 dimension: local total nodes in ring: 4 index in ring: 0 offset: 1total nodes in ring: 4
ring of node 0, id: 0 dimension: local total nodes in ring: 32 index in ring: 0 offset: 4total nodes in ring: 32
ring of node 0, id: 0 dimension: local total nodes in ring: 4 index in ring: 0 offset: 1total nodes in ring: 4
ring of node 0, id: 0 dimension: local total nodes in ring: 32 index in ring: 0 offset: 4total nodes in ring: 32
ring of node 0, id: 0 dimension: local total nodes in ring: 4 index in ring: 0 offset: 1total nodes in ring: 4
ring of node 0, id: 0 dimension: local total nodes in ring: 32 index in ring: 0 offset: 4total nodes in ring: 32
pp_commize:8388608
id: attention_norm , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
id: attention_norm , depen: -1 , wg_comp_time: 0
id: attention_layer , depen: -1 , wg_comp_time: 0
id: moe_norm , depen: -1 , wg_comp_time: 0
id: moe_route , depen: -1 , wg_comp_time: 1
id: moe_expert , depen: -1 , wg_comp_time: 1
type: HYBRID_TRANSFORMER_FWD_IN_BCKWD ,num passes: 5 ,lines: 160 compute scale: 1 ,comm scale: 1
PP config: pp_size=2 pp_commsize=8388608
GPU 0: pp_rank=0 pp_prev=-1 pp_next=4
stat path: ./ncclFlowModel_ ,total rows: 1 ,stat row: 0
CSV path and filename: ./ncclFlowModel_EndToEnd.csv
[DBG] About to init MockNccl global group
[DBG] About to init MockNccl comms
[DBG] MockNccl init done
GPU 1: pp_rank=0 pp_prev=-1 pp_next=5
GPU 2: pp_rank=0 pp_prev=-1 pp_next=6
GPU 3: pp_rank=0 pp_prev=-1 pp_next=7
GPU 4: pp_rank=1 pp_prev=0 pp_next=-1
GPU 5: pp_rank=1 pp_prev=1 pp_next=-1
GPU 6: pp_rank=1 pp_prev=2 pp_next=-1
GPU 7: pp_rank=1 pp_prev=3 pp_next=-1
GPU 8: pp_rank=0 pp_prev=-1 pp_next=12
GPU 9: pp_rank=0 pp_prev=-1 pp_next=13
GPU 10: pp_rank=0 pp_prev=-1 pp_next=14
GPU 11: pp_rank=0 pp_prev=-1 pp_next=15
GPU 12: pp_rank=1 pp_prev=8 pp_next=-1
GPU 13: pp_rank=1 pp_prev=9 pp_next=-1
GPU 14: pp_rank=1 pp_prev=10 pp_next=-1
GPU 15: pp_rank=1 pp_prev=11 pp_next=-1
GPU 16: pp_rank=0 pp_prev=-1 pp_next=20
GPU 17: pp_rank=0 pp_prev=-1 pp_next=21
GPU 18: pp_rank=0 pp_prev=-1 pp_next=22
GPU 19: pp_rank=0 pp_prev=-1 pp_next=23
GPU 20: pp_rank=1 pp_prev=16 pp_next=-1
GPU 21: pp_rank=1 pp_prev=17 pp_next=-1
GPU 22: pp_rank=1 pp_prev=18 pp_next=-1
GPU 23: pp_rank=1 pp_prev=19 pp_next=-1
GPU 24: pp_rank=0 pp_prev=-1 pp_next=28
GPU 25: pp_rank=0 pp_prev=-1 pp_next=29
GPU 26: pp_rank=0 pp_prev=-1 pp_next=30
GPU 27: pp_rank=0 pp_prev=-1 pp_next=31
GPU 28: pp_rank=1 pp_prev=24 pp_next=-1
GPU 29: pp_rank=1 pp_prev=25 pp_next=-1
GPU 30: pp_rank=1 pp_prev=26 pp_next=-1
GPU 31: pp_rank=1 pp_prev=27 pp_next=-1
GPU 32: pp_rank=0 pp_prev=-1 pp_next=36
GPU 33: pp_rank=0 pp_prev=-1 pp_next=37
GPU 34: pp_rank=0 pp_prev=-1 pp_next=38
GPU 35: pp_rank=0 pp_prev=-1 pp_next=39
GPU 36: pp_rank=1 pp_prev=32 pp_next=-1
GPU 37: pp_rank=1 pp_prev=33 pp_next=-1
GPU 38: pp_rank=1 pp_prev=34 pp_next=-1
GPU 39: pp_rank=1 pp_prev=35 pp_next=-1
GPU 40: pp_rank=0 pp_prev=-1 pp_next=44
GPU 41: pp_rank=0 pp_prev=-1 pp_next=45
GPU 42: pp_rank=0 pp_prev=-1 pp_next=46
GPU 43: pp_rank=0 pp_prev=-1 pp_next=47
GPU 44: pp_rank=1 pp_prev=40 pp_next=-1
GPU 45: pp_rank=1 pp_prev=41 pp_next=-1
GPU 46: pp_rank=1 pp_prev=42 pp_next=-1
GPU 47: pp_rank=1 pp_prev=43 pp_next=-1
GPU 48: pp_rank=0 pp_prev=-1 pp_next=52
GPU 49: pp_rank=0 pp_prev=-1 pp_next=53
GPU 50: pp_rank=0 pp_prev=-1 pp_next=54
GPU 51: pp_rank=0 pp_prev=-1 pp_next=55
GPU 52: pp_rank=1 pp_prev=48 pp_next=-1
GPU 53: pp_rank=1 pp_prev=49 pp_next=-1
GPU 54: pp_rank=1 pp_prev=50 pp_next=-1
GPU 55: pp_rank=1 pp_prev=51 pp_next=-1
GPU 56: pp_rank=0 pp_prev=-1 pp_next=60
GPU 57: pp_rank=0 pp_prev=-1 pp_next=61
GPU 58: pp_rank=0 pp_prev=-1 pp_next=62
GPU 59: pp_rank=0 pp_prev=-1 pp_next=63
GPU 60: pp_rank=1 pp_prev=56 pp_next=-1
GPU 61: pp_rank=1 pp_prev=57 pp_next=-1
GPU 62: pp_rank=1 pp_prev=58 pp_next=-1
GPU 63: pp_rank=1 pp_prev=59 pp_next=-1
GPU 64: pp_rank=0 pp_prev=-1 pp_next=68
GPU 65: pp_rank=0 pp_prev=-1 pp_next=69
GPU 66: pp_rank=0 pp_prev=-1 pp_next=70
GPU 67: pp_rank=0 pp_prev=-1 pp_next=71
GPU 68: pp_rank=1 pp_prev=64 pp_next=-1
GPU 69: pp_rank=1 pp_prev=65 pp_next=-1
GPU 70: pp_rank=1 pp_prev=66 pp_next=-1
GPU 71: pp_rank=1 pp_prev=67 pp_next=-1
GPU 72: pp_rank=0 pp_prev=-1 pp_next=76
GPU 73: pp_rank=0 pp_prev=-1 pp_next=77
GPU 74: pp_rank=0 pp_prev=-1 pp_next=78
GPU 75: pp_rank=0 pp_prev=-1 pp_next=79
GPU 76: pp_rank=1 pp_prev=72 pp_next=-1
GPU 77: pp_rank=1 pp_prev=73 pp_next=-1
GPU 78: pp_rank=1 pp_prev=74 pp_next=-1
GPU 79: pp_rank=1 pp_prev=75 pp_next=-1
GPU 80: pp_rank=0 pp_prev=-1 pp_next=84
GPU 81: pp_rank=0 pp_prev=-1 pp_next=85
GPU 82: pp_rank=0 pp_prev=-1 pp_next=86
GPU 83: pp_rank=0 pp_prev=-1 pp_next=87
GPU 84: pp_rank=1 pp_prev=80 pp_next=-1
GPU 85: pp_rank=1 pp_prev=81 pp_next=-1
GPU 86: pp_rank=1 pp_prev=82 pp_next=-1
GPU 87: pp_rank=1 pp_prev=83 pp_next=-1
GPU 88: pp_rank=0 pp_prev=-1 pp_next=92
GPU 89: pp_rank=0 pp_prev=-1 pp_next=93
GPU 90: pp_rank=0 pp_prev=-1 pp_next=94
GPU 91: pp_rank=0 pp_prev=-1 pp_next=95
GPU 92: pp_rank=1 pp_prev=88 pp_next=-1
GPU 93: pp_rank=1 pp_prev=89 pp_next=-1
GPU 94: pp_rank=1 pp_prev=90 pp_next=-1
GPU 95: pp_rank=1 pp_prev=91 pp_next=-1
GPU 96: pp_rank=0 pp_prev=-1 pp_next=100
GPU 97: pp_rank=0 pp_prev=-1 pp_next=101
GPU 98: pp_rank=0 pp_prev=-1 pp_next=102
GPU 99: pp_rank=0 pp_prev=-1 pp_next=103
GPU 100: pp_rank=1 pp_prev=96 pp_next=-1
GPU 101: pp_rank=1 pp_prev=97 pp_next=-1
GPU 102: pp_rank=1 pp_prev=98 pp_next=-1
GPU 103: pp_rank=1 pp_prev=99 pp_next=-1
GPU 104: pp_rank=0 pp_prev=-1 pp_next=108
GPU 105: pp_rank=0 pp_prev=-1 pp_next=109
GPU 106: pp_rank=0 pp_prev=-1 pp_next=110
GPU 107: pp_rank=0 pp_prev=-1 pp_next=111
GPU 108: pp_rank=1 pp_prev=104 pp_next=-1
GPU 109: pp_rank=1 pp_prev=105 pp_next=-1
GPU 110: pp_rank=1 pp_prev=106 pp_next=-1
GPU 111: pp_rank=1 pp_prev=107 pp_next=-1
GPU 112: pp_rank=0 pp_prev=-1 pp_next=116
GPU 113: pp_rank=0 pp_prev=-1 pp_next=117
GPU 114: pp_rank=0 pp_prev=-1 pp_next=118
GPU 115: pp_rank=0 pp_prev=-1 pp_next=119
GPU 116: pp_rank=1 pp_prev=112 pp_next=-1
GPU 117: pp_rank=1 pp_prev=113 pp_next=-1
GPU 118: pp_rank=1 pp_prev=114 pp_next=-1
GPU 119: pp_rank=1 pp_prev=115 pp_next=-1
GPU 120: pp_rank=0 pp_prev=-1 pp_next=124
GPU 121: pp_rank=0 pp_prev=-1 pp_next=125
GPU 122: pp_rank=0 pp_prev=-1 pp_next=126
GPU 123: pp_rank=0 pp_prev=-1 pp_next=127
GPU 124: pp_rank=1 pp_prev=120 pp_next=-1
GPU 125: pp_rank=1 pp_prev=121 pp_next=-1
GPU 126: pp_rank=1 pp_prev=122 pp_next=-1
GPU 127: pp_rank=1 pp_prev=123 pp_next=-1
[htsim] Created 128 Sys instances
[htsim] Workloads fired
Running htsim simulation...
info: no forward pass collective for layer: attention_norm
chunk size is: 8192 , size is: 8192 , layer_num is: 1 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=3 chunk=8192
[DBG] got queue 0
[DBG] phase created, final_data_size=8192
info: all-reduce forward pass collective issued for layer: attention_layer, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
[SendFlow] NVLink: src=0 dst=1 size=512 com_type=3
[SendFlow] NVLink: src=0 dst=1 size=512 com_type=3
[SendFlow] NVLink: src=0 dst=1 size=512 com_type=3
[SendFlow] NVLink: src=0 dst=1 size=512 com_type=3
[SendFlow] NVLink: src=1 dst=2 size=512 com_type=3
***** info: fwd pass comm collective for layer: attention_layer is finished************
info: no forward pass collective for layer: moe_norm
chunk size is: 4096 , size is: 4096 , layer_num is: 3 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=4 chunk=4096
[DBG] got queue 0
[DBG] phase created, final_data_size=4096
info: all-to-all forward pass collective issued for layer: moe_route, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
[SendFlow] ECS: src=2(m0) dst=10(m1) size=148 com_type=4
[SendFlow] Route debug: src=2 dst=10 ocs=0 routeout_size=6 routein_size=6
[SendFlow] ECS: src=2(m0) dst=14(m1) size=222 com_type=4
[SendFlow] Route debug: src=2 dst=14 ocs=0 routeout_size=6 routein_size=6
[SendFlow] ECS: src=2(m0) dst=18(m2) size=668 com_type=4
[SendFlow] Route debug: src=2 dst=18 ocs=0 routeout_size=12 routein_size=12
[SendFlow] ECS: src=2(m0) dst=22(m2) size=178 com_type=4
[SendFlow] Route debug: src=2 dst=22 ocs=0 routeout_size=12 routein_size=12
[SendFlow] ECS: src=2(m0) dst=26(m3) size=291 com_type=4
[SendFlow] Route debug: src=2 dst=26 ocs=0 routeout_size=12 routein_size=12
[SendFlow] ECS: src=2(m0) dst=30(m3) size=1536 com_type=4
[SendFlow] ECS: src=3(m0) dst=11(m1) size=148 com_type=4
[SendFlow] ECS: src=3(m0) dst=15(m1) size=222 com_type=4
[SendFlow] ECS: src=3(m0) dst=19(m2) size=668 com_type=4
[SendFlow] ECS: src=3(m0) dst=23(m2) size=178 com_type=4
***** info: fwd pass comm collective for layer: moe_route is finished************
chunk size is: 4096 , size is: 4096 , layer_num is: 4 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=4 chunk=4096
[DBG] got queue 0
[DBG] phase created, final_data_size=4096
info: all-to-all forward pass collective issued for layer: moe_expert, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: moe_expert is finished************
info: no forward pass collective for layer: attention_norm
chunk size is: 8192 , size is: 8192 , layer_num is: 6 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=3 chunk=8192
[DBG] got queue 0
[DBG] phase created, final_data_size=8192
info: all-reduce forward pass collective issued for layer: attention_layer, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: attention_layer is finished************
info: no forward pass collective for layer: moe_norm
chunk size is: 4096 , size is: 4096 , layer_num is: 8 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=4 chunk=4096
[DBG] got queue 0
[DBG] phase created, final_data_size=4096
info: all-to-all forward pass collective issued for layer: moe_route, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: moe_route is finished************
chunk size is: 4096 , size is: 4096 , layer_num is: 9 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=4 chunk=4096
[DBG] got queue 0
[DBG] phase created, final_data_size=4096
info: all-to-all forward pass collective issued for layer: moe_expert, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: moe_expert is finished************
info: no forward pass collective for layer: attention_norm
chunk size is: 8192 , size is: 8192 , layer_num is: 11 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=3 chunk=8192
[DBG] got queue 0
[DBG] phase created, final_data_size=8192
info: all-reduce forward pass collective issued for layer: attention_layer, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: attention_layer is finished************
info: no forward pass collective for layer: moe_norm
chunk size is: 4096 , size is: 4096 , layer_num is: 13 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=4 chunk=4096
[DBG] got queue 0
[DBG] phase created, final_data_size=4096
info: all-to-all forward pass collective issued for layer: moe_route, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: moe_route is finished************
chunk size is: 4096 , size is: 4096 , layer_num is: 14 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=4 chunk=4096
[DBG] got queue 0
[DBG] phase created, final_data_size=4096
info: all-to-all forward pass collective issued for layer: moe_expert, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: moe_expert is finished************
info: no forward pass collective for layer: attention_norm
chunk size is: 8192 , size is: 8192 , layer_num is: 16 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=3 chunk=8192
[DBG] got queue 0
[DBG] phase created, final_data_size=8192
info: all-reduce forward pass collective issued for layer: attention_layer, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: attention_layer is finished************
info: no forward pass collective for layer: moe_norm
chunk size is: 4096 , size is: 4096 , layer_num is: 18 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=4 chunk=4096
[DBG] got queue 0
[DBG] phase created, final_data_size=4096
info: all-to-all forward pass collective issued for layer: moe_route, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: moe_route is finished************
chunk size is: 4096 , size is: 4096 , layer_num is: 19 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=4 chunk=4096
[DBG] got queue 0
[DBG] phase created, final_data_size=4096
info: all-to-all forward pass collective issued for layer: moe_expert, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: moe_expert is finished************
info: no forward pass collective for layer: attention_norm
chunk size is: 8192 , size is: 8192 , layer_num is: 21 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=3 chunk=8192
[DBG] got queue 0
[DBG] phase created, final_data_size=8192
info: all-reduce forward pass collective issued for layer: attention_layer, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: attention_layer is finished************
info: no forward pass collective for layer: moe_norm
chunk size is: 4096 , size is: 4096 , layer_num is: 23 , node: 0
[DBG] gen_collective dim=0 nodes_in_dim=4 collective_type=4 chunk=4096
[DBG] got queue 0
[DBG] phase created, final_data_size=4096
info: all-to-all forward pass collective issued for layer: moe_route, involved dimensions:  1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
***** info: fwd pass comm collective for layer: moe_route is finished************
chunk size is: 4096 , size is: 4096 , layer_num is: 24 , node: 0
